Name,Ref:Opportunity__c:Opportunity,Requirement_Type__c,Type__c,Status__c,Due_Date__c,Submission_Date__c,Milestone_Amount__c,Comments__c
Final Evaluation - FY2023 Grant - 00345,CE-OPP-00345,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00346,CE-OPP-00346,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00347,CE-OPP-00347,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00348,CE-OPP-00348,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00349,CE-OPP-00349,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00350,CE-OPP-00350,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00351,CE-OPP-00351,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00352,CE-OPP-00352,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00353,CE-OPP-00353,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00354,CE-OPP-00354,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00355,CE-OPP-00355,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00356,CE-OPP-00356,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00357,CE-OPP-00357,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00358,CE-OPP-00358,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00359,CE-OPP-00359,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00360,CE-OPP-00360,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00361,CE-OPP-00361,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00362,CE-OPP-00362,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00363,CE-OPP-00363,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00364,CE-OPP-00364,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00365,CE-OPP-00365,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00366,CE-OPP-00366,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00367,CE-OPP-00367,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00368,CE-OPP-00368,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00369,CE-OPP-00369,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00370,CE-OPP-00370,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00371,CE-OPP-00371,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00372,CE-OPP-00372,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00373,CE-OPP-00373,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00374,CE-OPP-00374,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00375,CE-OPP-00375,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00376,CE-OPP-00376,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00377,CE-OPP-00377,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00378,CE-OPP-00378,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00379,CE-OPP-00379,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00380,CE-OPP-00380,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00381,CE-OPP-00381,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00382,CE-OPP-00382,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00383,CE-OPP-00383,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00384,CE-OPP-00384,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00385,CE-OPP-00385,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00386,CE-OPP-00386,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00387,CE-OPP-00387,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00388,CE-OPP-00388,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00389,CE-OPP-00389,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00390,CE-OPP-00390,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00391,CE-OPP-00391,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00392,CE-OPP-00392,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00393,CE-OPP-00393,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00394,CE-OPP-00394,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00395,CE-OPP-00395,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00396,CE-OPP-00396,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00397,CE-OPP-00397,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00398,CE-OPP-00398,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00399,CE-OPP-00399,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00400,CE-OPP-00400,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00401,CE-OPP-00401,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00402,CE-OPP-00402,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00403,CE-OPP-00403,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00404,CE-OPP-00404,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00405,CE-OPP-00405,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00406,CE-OPP-00406,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00407,CE-OPP-00407,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00408,CE-OPP-00408,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00409,CE-OPP-00409,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00410,CE-OPP-00410,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00411,CE-OPP-00411,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00412,CE-OPP-00412,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00413,CE-OPP-00413,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00414,CE-OPP-00414,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00415,CE-OPP-00415,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00416,CE-OPP-00416,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00417,CE-OPP-00417,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00418,CE-OPP-00418,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00419,CE-OPP-00419,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00420,CE-OPP-00420,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00421,CE-OPP-00421,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00422,CE-OPP-00422,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00423,CE-OPP-00423,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00424,CE-OPP-00424,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00425,CE-OPP-00425,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00426,CE-OPP-00426,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00427,CE-OPP-00427,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00428,CE-OPP-00428,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00429,CE-OPP-00429,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00430,CE-OPP-00430,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00431,CE-OPP-00431,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00432,CE-OPP-00432,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00433,CE-OPP-00433,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00434,CE-OPP-00434,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00435,CE-OPP-00435,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00436,CE-OPP-00436,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00437,CE-OPP-00437,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00438,CE-OPP-00438,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00439,CE-OPP-00439,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00440,CE-OPP-00440,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00441,CE-OPP-00441,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00442,CE-OPP-00442,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00443,CE-OPP-00443,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00444,CE-OPP-00444,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00445,CE-OPP-00445,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00446,CE-OPP-00446,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00447,CE-OPP-00447,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00448,CE-OPP-00448,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00449,CE-OPP-00449,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00450,CE-OPP-00450,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00451,CE-OPP-00451,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00452,CE-OPP-00452,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00453,CE-OPP-00453,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00454,CE-OPP-00454,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00455,CE-OPP-00455,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00456,CE-OPP-00456,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00457,CE-OPP-00457,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00458,CE-OPP-00458,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00459,CE-OPP-00459,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00460,CE-OPP-00460,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00461,CE-OPP-00461,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00462,CE-OPP-00462,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00463,CE-OPP-00463,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00464,CE-OPP-00464,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00465,CE-OPP-00465,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00466,CE-OPP-00466,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00467,CE-OPP-00467,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00468,CE-OPP-00468,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00469,CE-OPP-00469,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00470,CE-OPP-00470,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00471,CE-OPP-00471,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00472,CE-OPP-00472,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00473,CE-OPP-00473,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00474,CE-OPP-00474,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00475,CE-OPP-00475,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00476,CE-OPP-00476,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00477,CE-OPP-00477,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00478,CE-OPP-00478,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00479,CE-OPP-00479,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00480,CE-OPP-00480,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00481,CE-OPP-00481,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00482,CE-OPP-00482,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00483,CE-OPP-00483,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00484,CE-OPP-00484,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00485,CE-OPP-00485,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00486,CE-OPP-00486,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00487,CE-OPP-00487,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00488,CE-OPP-00488,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00489,CE-OPP-00489,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00490,CE-OPP-00490,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00491,CE-OPP-00491,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00492,CE-OPP-00492,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00493,CE-OPP-00493,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00494,CE-OPP-00494,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00495,CE-OPP-00495,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00496,CE-OPP-00496,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00497,CE-OPP-00497,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00498,CE-OPP-00498,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00499,CE-OPP-00499,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00500,CE-OPP-00500,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
